REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
QLD1,2026/07/01 00:05:00,6006.64,69.02,TRADE
QLD1,2026/07/01 00:10:00,5916.26,69.68,TRADE
QLD1,2026/07/01 00:15:00,5941.04,95.46,TRADE
QLD1,2026/07/01 00:20:00,5882.7,88.34,TRADE
QLD1,2026/07/01 00:25:00,5895.94,75.34,TRADE
QLD1,2026/07/01 00:30:00,5883.05,68.95,TRADE
QLD1,2026/07/01 00:35:00,5839.56,72.94,TRADE
QLD1,2026/07/01 00:40:00,5840.7,73.41,TRADE
QLD1,2026/07/01 00:45:00,5818.74,86.61,TRADE
QLD1,2026/07/01 00:50:00,5745.87,84.61,TRADE
QLD1,2026/07/01 00:55:00,5752.94,64.23,TRADE
QLD1,2026/07/01 01:00:00,5698.37,68.52,TRADE
QLD1,2026/07/01 01:05:00,5713.43,89.03,TRADE
QLD1,2026/07/01 01:10:00,5695.62,82.27,TRADE
QLD1,2026/07/01 01:15:00,5692.56,72.81,TRADE
QLD1,2026/07/01 01:20:00,5647.07,71.40,TRADE
QLD1,2026/07/01 01:25:00,5627.81,73.44,TRADE
QLD1,2026/07/01 01:30:00,5656.71,74.99,TRADE
QLD1,2026/07/01 01:35:00,5676.55,74.54,TRADE
QLD1,2026/07/01 01:40:00,5623.52,74.03,TRADE
QLD1,2026/07/01 01:45:00,5629.48,70.49,TRADE
QLD1,2026/07/01 01:50:00,5614.76,77.09,TRADE
QLD1,2026/07/01 01:55:00,5577.82,79.03,TRADE
QLD1,2026/07/01 02:00:00,5617.06,71.39,TRADE
QLD1,2026/07/01 02:05:00,5562.57,75.10,TRADE
QLD1,2026/07/01 02:10:00,5548.58,73.44,TRADE
QLD1,2026/07/01 02:15:00,5561.39,73.44,TRADE
QLD1,2026/07/01 02:20:00,5529.34,70.43,TRADE
QLD1,2026/07/01 02:25:00,5500.62,70.40,TRADE
QLD1,2026/07/01 02:30:00,5559.14,70.90,TRADE
QLD1,2026/07/01 02:35:00,5509.29,73.44,TRADE
QLD1,2026/07/01 02:40:00,5494.39,74.59,TRADE
QLD1,2026/07/01 02:45:00,5495.8,73.44,TRADE
QLD1,2026/07/01 02:50:00,5449.43,69.49,TRADE
QLD1,2026/07/01 02:55:00,5482.97,73.44,TRADE
QLD1,2026/07/01 03:00:00,5466.1,73.44,TRADE
QLD1,2026/07/01 03:05:00,5445.56,70.36,TRADE
QLD1,2026/07/01 03:10:00,5520.46,71.33,TRADE
QLD1,2026/07/01 03:15:00,5502.29,71.32,TRADE
QLD1,2026/07/01 03:20:00,5469.58,76.98,TRADE
QLD1,2026/07/01 03:25:00,5546.08,77.53,TRADE
QLD1,2026/07/01 03:30:00,5529.88,70.89,TRADE
QLD1,2026/07/01 03:35:00,5566.58,71.84,TRADE
QLD1,2026/07/01 03:40:00,5607.48,73.44,TRADE
QLD1,2026/07/01 03:45:00,5604.27,77.14,TRADE
QLD1,2026/07/01 03:50:00,5597.18,76.60,TRADE
QLD1,2026/07/01 03:55:00,5548.57,73.44,TRADE
QLD1,2026/07/01 04:00:00,5562,76.09,TRADE
QLD1,2026/07/01 04:05:00,5539.69,64.53,TRADE
QLD1,2026/07/01 04:10:00,5592.85,69.25,TRADE
QLD1,2026/07/01 04:15:00,5634.47,70.66,TRADE
QLD1,2026/07/01 04:20:00,5631.62,70.78,TRADE
QLD1,2026/07/01 04:25:00,5683.37,75.23,TRADE
QLD1,2026/07/01 04:30:00,5661.99,65.85,TRADE
QLD1,2026/07/01 04:35:00,5665.27,69.25,TRADE
QLD1,2026/07/01 04:40:00,5710.45,70.29,TRADE
QLD1,2026/07/01 04:45:00,5692.43,73.80,TRADE
QLD1,2026/07/01 04:50:00,5723.74,73.83,TRADE
QLD1,2026/07/01 04:55:00,5765.68,71.23,TRADE
QLD1,2026/07/01 05:00:00,5791.12,69.25,TRADE
QLD1,2026/07/01 05:05:00,5820.53,72.50,TRADE
QLD1,2026/07/01 05:10:00,5905.33,76.63,TRADE
QLD1,2026/07/01 05:15:00,5961.63,87.74,TRADE
QLD1,2026/07/01 05:20:00,6010.62,73.28,TRADE
QLD1,2026/07/01 05:25:00,6028.04,76.99,TRADE
QLD1,2026/07/01 05:30:00,6104.19,79.43,TRADE
